kratek_naziv,drugi_nazivi,zacetek_aktivnosti,konec_aktivnosti,domneven_zacetek,domneven_konec,obmocja_delovanja,strani_z_omembo
Janeček,"['Janez Frančišek Janeček', 'Jan František Janeček', 'Johannes Franciscus Janechek']",1721,1777,False,False,['CE'],"[7, 24, 25, 26, 31, 35, 39, 43, 45, 66, 77, 78, 79, 87, 92, 97, 101, 109, 111, 112, 140, 172, 177, 179, 180, 243, 245, 258, 286, 308, 324, 351, 362, 375, 392, 422, 423, 435, 448, 451, 452, 458, 461, 470, 471, 495, 496, 512, 525, 535, 536, 549, 560, 561, 566, 573, 587, 591, 592, 616, 623, 630, 631, 632, 647, 651]"
Jenko,"['Franc Jenko', 'Anton Jenko']",1927,1997,False,False,['LJ'],"[29, 30, 31, 38, 39, 55, 60, 64, 65, 67, 68, 69, 73, 75, 80, 82, 86, 90, 92, 99, 101, 102, 104, 105, 107, 110, 111, 116, 118, 121, 122, 123, 125, 132, 133, 135, 136, 138, 139, 143, 145, 148, 151, 152, 154, 161, 166, 170, 173, 175, 176, 177, 179, 182, 183, 190, 193, 201, 202, 205, 206, 207, 213, 215, 216, 217, 220, 223, 225, 227, 228, 234, 236, 242, 243, 252, 256, 257, 259, 260, 261, 264, 269, 271, 279, 280, 282, 288, 289, 291, 293, 294, 297, 299, 304, 306, 307, 309, 310, 314, 319, 321, 330, 334, 337, 338, 339, 341, 344, 350, 352, 353, 354, 356, 358, 370, 374, 377, 380, 381, 382, 383, 385, 389, 390, 391, 392, 393, 398, 399, 401, 405, 406, 411, 413, 414, 415, 417, 419, 420, 424, 425, 429, 430, 431, 435, 439, 441, 442, 444, 456, 461, 462, 464, 467, 469, 470, 474, 477, 483, 485, 500, 503, 510, 516, 518, 527, 529, 531, 533, 542, 543, 545, 546, 547, 548, 554, 555, 556, 557, 560, 564, 566, 569, 570, 571, 576, 577, 579, 580, 582, 583, 586, 590, 591, 593, 596, 600, 603, 604, 605, 606, 612, 615, 616, 617, 630, 634, 642, 646, 649, 650, 651, 653, 661]"
Ježek,"['Karl Ježek', 'Zitzmann & Jeschek Fabricca Organi']",1925,1930,False,False,['GO'],"[29, 80, 161, 270, 342, 447, 490, 619, 646, 654]"
Jydsk,['Jydsk Orgelbyggeri'],1968,1968,False,False,['DN'],[432]
Kacin,['Ivan Kacin'],1925,1930,False,False,['GO'],"[29, 30, 38, 54, 56, 59, 67, 80, 86, 159, 169, 170, 196, 197, 202, 211, 237, 254, 282, 337, 352, 364, 369, 438, 440, 460, 549, 583, 643]"
Kafka,['Adalbert Kafka'],1859,1880,False,False,['MB'],"[243, 322, 387, 426, 495, 605, 614]"
Kaper,['Joseph Kaper'],1859,1880,False,False,['KO'],[252]
Kerssenbrock,['Hubertus von Kerssenbrock'],1984,1988,False,False,['DE'],"[92, 97, 98, 101, 105, 109, 150, 172, 260, 302, 305, 404, 409, 431, 432, 493, 496, 497, 501, 587, 630, 631, 650]"
Kheverspichler,"['Thomas Kheverspichler', ' Thomas Kheuerspiller']",1628,1652,False,False,['GR'],"[24, 35]"
Knoller,['Franz Knoller'],1700,1730,False,False,['KO'],[399]
Kolar,"['Simon Kolar', 'Orglarstvo Kolar']",1990,2018,False,False,['CE'],"[31, 35, 39, 63, 67, 72, 84, 98, 107, 118, 120, 125, 156, 167, 171, 188, 192, 225, 237, 262, 312, 322, 330, 334, 362, 372, 396, 410, 413, 417, 421, 428, 445, 473, 481, 483, 521, 528, 531, 539, 558, 560, 569, 584, 591, 594, 600, 616, 617, 627, 637, 638, 646, 650, 670, 672]"
Korošak,"['Franc Korošak', 'Franz Koroschak']",1867,1891,False,False,"['MB', 'DE']","[137, 311, 488]"
Košir,"['Brane Košir', 'Branko Košir', 'Orglarska delavnica Maribor']",1990,2018,False,False,"['MB', 'LJ']","[31, 39, 58, 75, 107, 109, 131, 149, 150, 162, 165, 174, 187, 205, 268, 270, 272, 282, 293, 300, 302, 305, 306, 311, 312, 315, 333, 367, 403, 404, 433, 436, 446, 458, 466, 480, 534, 536, 553, 621, 671, 673]"
Krainz,"['Mathias Krainz', 'Matija Krainz']",1872,1882,False,False,"['GR', 'MB']","[28, 37, 90, 122, 221, 231, 307, 308, 321, 478, 486, 506, 572, 574, 639]"
Krajnc,"['Mihael Krajnc', 'Michael Krainz']",1872,1882,False,False,"['GR', 'MB']","[28, 113, 122, 308, 321, 381, 478, 536, 558]"
Krek,"['Tomaž Krek', 'Thomas Kruegh']",1647,1650,False,False,['LJ'],"[9, 22, 33, 109, 260, 496]"
Krenn,['Orgelbau Krenn'],1991,1991,False,False,['DE'],[329]
Kriegl,['Karol Kriegel'],1898,1904,False,False,['LJ'],"[160, 334, 364, 432, 510, 537, 543, 556, 569]"
Križman,"['Frančišek Ksaver Križman', 'Franz Xaver Chrismann']",1761,1795,False,False,"['GO', 'LJ', 'AT']","[11, 22, 25, 31, 34, 35, 39, 43, 80, 93, 132, 188, 284, 286, 354, 356, 480, 588, 674]"
Kučera,"['Josip Kučera', 'Joseph Alois Kutschera']",1781,1826,False,False,['LJ'],"[24, 26, 34, 45, 125, 360, 386, 431, 432, 480, 562, 584, 633, 643]"
Kuhar,"['Janez Kuhar', 'Johann Kuher']",1899,1916,False,False,['KO'],"[116, 130, 334]"
Kuhn,['Kuhn Orgelbau'],1979,1979,False,False,['CH'],[259]
Kunath,"['Johann Gottfried Kunath', 'Janez Kunat', 'Eduard Kunad']",1818,1882,False,False,"['LJ', 'TS']","[25, 26, 28, 35, 37, 40, 57, 73, 103, 161, 213, 214, 284, 286, 294, 311, 329, 377, 385, 464, 472, 489, 493, 521, 538, 541, 547, 551, 552, 554, 563, 584, 600]"
Lauterspeck,"['Christoph Lauterspeck', 'C. Lautterspeck', 'Johann Lauterspeck']",1641,1688,False,False,['CE'],"[22, 33, 426, 501, 502, 504, 619]"
Lenarčič,"['Andrej Lenarčič', 'Acordia']",1987,2005,False,False,['LJ'],"[143, 227, 274, 296, 302, 422, 455, 469, 491, 558]"
Lilling,['Hans Peter Lilling'],1607,1630,False,False,['GR'],"[24, 35]"
Lindtner,['Mathias Lindtner'],1630,1650,False,False,['LJ'],"[22, 33]"
Link,['Gebrüder Link'],1960,1960,False,False,['DE'],"[4, 14, 34, 35, 37, 40, 47, 389]"
Lipušček,"['Ivan Lipušček', 'Janez Lipušček']",1893,1911,False,False,['GO'],"[58, 147, 156, 214, 254, 373, 389, 392, 447]"
Lukman,['Drago Lukman'],2000,2018,False,False,['MB'],"[31, 39, 56, 156, 193, 209, 235, 306, 311, 315, 422, 423, 498, 529, 576, 606, 608, 671, 672]"
Magister de Justinopoli,[''],1380,1390,False,False,['GO'],"[18, 32]"
Malahovski,"['Andrej Ferdinand Malahovski', 'Ferdinandus Malachovsky', 'Andrej Malakhovky']",1840,1881,False,False,['LJ'],"[28, 37, 45, 58, 60, 78, 143, 144, 156, 179, 223, 225, 227, 238, 274, 288, 289, 291, 293, 306, 311, 335, 341, 390, 440, 484, 510, 538, 593, 602, 603, 623, 636, 639, 645, 653]"
Malej,"['Ferdinand Malej', 'Ferdinand Mally']",1862,1862,False,False,['CE'],[252]
Manderscheidt,['Sebald Manderscheidt'],1682,1682,False,False,['DE'],"[22, 33, 502]"
Mandlin,"['Janez Mandlin', 'Johan Mandlin']",1852,1880,False,False,['NM'],"[27, 28, 37, 53, 96, 103, 125, 127, 150, 160, 338, 339, 358, 366, 404, 466, 472, 480, 532, 537, 572, 582, 586, 651]"
Maribor,"['Škofijska orglarska delavnica', 'Orglarska delavnica Maribor']",1989,2018,False,False,['MB'],"[30, 54, 67, 74, 75, 83, 90, 92, 97, 99, 107, 112, 113, 122, 131, 137, 140, 148, 149, 150, 155, 157, 162, 173, 174, 176, 178, 180, 184, 187, 199, 203, 204, 205, 206, 209, 224, 230, 242, 245, 249, 261, 266, 268, 269, 270, 272, 279, 282, 286, 300, 302, 306, 311, 315, 319, 321, 325, 328, 360, 367, 368, 373, 387, 392, 399, 401, 403, 404, 415, 418, 430, 436, 437, 450, 451, 463, 464, 466, 467, 472, 480, 482, 486, 492, 495, 498, 501, 503, 510, 511, 514, 529, 534, 536, 548, 549, 555, 558, 563, 576, 579, 586, 588, 614, 620, 632, 636, 641, 655, 673, 670, 671]"
Martenssons,['Martenssons Orgelfabrik'],1961,1961,False,False,['SW'],[88]
Martl,"['Venčeslav Martl', 'Venceslavus Marthal']",1803,1825,False,False,['CE'],"[25, 26, 35, 45, 69, 77, 92, 112, 132, 143, 160, 170, 214, 233, 344, 348, 393, 402, 466, 470, 471, 481, 482, 499, 501, 504, 523, 533, 539, 566, 614, 621, 623]"
Mascioni,['Fabbrica d’organi Mascioni'],1926,1988,False,False,['IT'],"[182, 318, 352, 508, 625]"
Mauracher,"['Mathias Mauracher', 'Johann Mauracher']",1860,1912,False,False,['AT'],"[86, 97, 160, 215, 266, 324, 354, 381, 466, 611, 633]"
Mayer,"['Gebrüder Mayer', 'Brata Mayer']",1902,1915,False,False,['AT'],"[58, 118, 125, 133, 161, 223, 235, 237, 271, 274, 334, 358, 371, 410, 426, 435, 473, 496, 510, 517, 521, 534, 538, 542, 546, 594]"
Mencinger,"['Jakob Matzinger', '*Franc Mencinger']",1835,1835,False,False,['MB'],"[444, 600]"
Merlini,['Francesco Merlini'],1805,1805,False,False,['IT'],"[25, 35, 217, 337]"
Mihaljević,['Josip Mihaljević'],2016,2016,False,False,['HR'],"[64, 106, 349]"
Milavec,['Ivan Milavec'],1904,1915,False,False,['LJ'],"[11, 12, 27, 29, 38, 54, 56, 58, 59, 60, 69, 73, 88, 110, 118, 123, 128, 132, 141, 142, 143, 147, 165, 180, 188, 199, 200, 202, 225, 230, 231, 233, 236, 261, 264, 280, 284, 286, 300, 314, 333, 380, 412, 413, 438, 463, 482, 515, 540, 545, 562, 573, 577, 579, 583, 586, 593, 619, 624, 653, 654]"
Mitterreiter,"['Andreas Mitterreiter', 'Georg Mitterreiter']",1726,1737,False,False,['GR'],"[24, 35, 82, 95, 306, 426, 491, 576]"
